코드,날짜,종가
OIL_CL,2019-10-30 00:00:00,55.06
OIL_CL,2019-10-29 00:00:00,55.54
OIL_CL,2019-10-28 00:00:00,55.81
OIL_CL,2019-10-25 00:00:00,56.66
OIL_CL,2019-10-24 00:00:00,56.23
OIL_CL,2019-10-23 00:00:00,55.97
OIL_CL,2019-10-22 00:00:00,54.48
OIL_CL,2019-10-21 00:00:00,53.31
OIL_CL,2019-10-18 00:00:00,53.78
OIL_CL,2019-10-17 00:00:00,53.93
OIL_CL,2019-10-16 00:00:00,53.36
OIL_CL,2019-10-15 00:00:00,52.81
OIL_CL,2019-10-14 00:00:00,53.59
OIL_CL,2019-10-11 00:00:00,54.7
OIL_CL,2019-10-10 00:00:00,53.55
OIL_CL,2019-10-09 00:00:00,52.59
OIL_CL,2019-10-08 00:00:00,52.63
OIL_CL,2019-10-07 00:00:00,52.75
OIL_CL,2019-10-04 00:00:00,52.81
OIL_CL,2019-10-03 00:00:00,52.45
OIL_CL,2019-10-02 00:00:00,52.64
OIL_CL,2019-10-01 00:00:00,53.62
OIL_CL,2019-09-30 00:00:00,54.07
OIL_CL,2019-09-27 00:00:00,55.91
OIL_CL,2019-09-26 00:00:00,56.41
OIL_CL,2019-09-25 00:00:00,56.49
OIL_CL,2019-09-24 00:00:00,57.29
OIL_CL,2019-09-23 00:00:00,58.64
OIL_CL,2019-09-20 00:00:00,58.09
OIL_CL,2019-09-19 00:00:00,58.13
OIL_CL,2019-09-18 00:00:00,58.11
OIL_CL,2019-09-17 00:00:00,59.34
OIL_CL,2019-09-16 00:00:00,62.9
OIL_CL,2019-09-13 00:00:00,54.85
OIL_CL,2019-09-12 00:00:00,55.09
OIL_CL,2019-09-11 00:00:00,55.75
OIL_CL,2019-09-10 00:00:00,57.4
OIL_CL,2019-09-09 00:00:00,57.85
OIL_CL,2019-09-06 00:00:00,56.52
OIL_CL,2019-09-05 00:00:00,56.3
OIL_CL,2019-09-04 00:00:00,56.26
OIL_CL,2019-09-03 00:00:00,53.94
OIL_CL,2019-08-30 00:00:00,55.1
OIL_CL,2019-08-29 00:00:00,56.71
OIL_CL,2019-08-28 00:00:00,55.78
OIL_CL,2019-08-27 00:00:00,54.93
OIL_CL,2019-08-26 00:00:00,53.64
OIL_CL,2019-08-23 00:00:00,54.17
OIL_CL,2019-08-22 00:00:00,55.35
OIL_CL,2019-08-21 00:00:00,55.68
OIL_CL,2019-08-20 00:00:00,56.13
OIL_CL,2019-08-19 00:00:00,56.21
OIL_CL,2019-08-16 00:00:00,54.87
OIL_CL,2019-08-15 00:00:00,54.47
OIL_CL,2019-08-14 00:00:00,55.23
OIL_CL,2019-08-13 00:00:00,57.1
OIL_CL,2019-08-12 00:00:00,54.93
OIL_CL,2019-08-09 00:00:00,54.5
OIL_CL,2019-08-08 00:00:00,52.54
OIL_CL,2019-08-07 00:00:00,51.09
OIL_CL,2019-08-06 00:00:00,53.63
OIL_CL,2019-08-05 00:00:00,54.69
OIL_CL,2019-08-02 00:00:00,55.66
OIL_CL,2019-08-01 00:00:00,53.95
OIL_CL,2019-07-31 00:00:00,58.58
OIL_CL,2019-07-30 00:00:00,58.05
OIL_CL,2019-07-29 00:00:00,56.87
OIL_CL,2019-07-26 00:00:00,56.2
OIL_CL,2019-07-25 00:00:00,56.02
